recording,audio_path,s3-key,temp
Albuquerque (Original),/home/pedro/dev/antfood/percussive-gen/data/audio/01_Rocket_And_The_Ghost_Albuquerque_11.5.14.wav,01_Rocket_And_The_Ghost_Albuquerque_11.5.14.wav,65
Spiderhands (Original),/home/pedro/dev/antfood/percussive-gen/data/audio/01_Spiderhands_6.6.13.wav,01_Spiderhands_6.6.13.wav,83
1981 (Original),/home/pedro/dev/antfood/percussive-gen/data/audio/02_1981_6.6.13.wav,02_1981_6.6.13.wav,82
Come In From The Outside (Original),/home/pedro/dev/antfood/percussive-gen/data/audio/02_Rocket_And_The_Ghost_Come_In_From_The_Outside_11.5.14.wav,02_Rocket_And_The_Ghost_Come_In_From_The_Outside_11.5.14.wav,85
Brighton (Original),/home/pedro/dev/antfood/percussive-gen/data/audio/03_Brighton_6.6.13.wav,03_Brighton_6.6.13.wav,87
Ghosts (Original),/home/pedro/dev/antfood/percussive-gen/data/audio/04_Ghosts_6.6.13.wav,04_Ghosts_6.6.13.wav,82
Ipanema (Original),/home/pedro/dev/antfood/percussive-gen/data/audio/05_Ipanema_6.6.13.wav,05_Ipanema_6.6.13.wav,34
The Weather (Original),/home/pedro/dev/antfood/percussive-gen/data/audio/06_The_Weather_6.6.13.wav,06_The_Weather_6.6.13.wav,85
Copycat (Original),/home/pedro/dev/antfood/percussive-gen/data/audio/07_Copycat_6.6.13.wav,07_Copycat_6.6.13.wav,85
Love on Division (Original),/home/pedro/dev/antfood/percussive-gen/data/audio/08_Love_On_Division_6.6.13.wav,08_Love_On_Division_6.6.13.wav,85
Forty Eight Hour Blend (Original),/home/pedro/dev/antfood/percussive-gen/data/audio/8OClockCoffee_FortyEightHourBlend_MUS_180831_LIB_SC.wav,8OClockCoffee_FortyEightHourBlend_MUS_180831_LIB_SC.wav,76
Rebirth Of Class (Clean),/home/pedro/dev/antfood/percussive-gen/data/audio/8OClockCoffee_RebirthOfClass_Clean_180831_WB_LIB_1.wav,8OClockCoffee_RebirthOfClass_Clean_180831_WB_LIB_1.wav,85
Rebirth Of Class (Dusty),/home/pedro/dev/antfood/percussive-gen/data/audio/8OClockCoffee_RebirthOfClass_Dusty_180831_WB_LIB_2.wav,8OClockCoffee_RebirthOfClass_Dusty_180831_WB_LIB_2.wav,85
Sunflower Fields (Original),/home/pedro/dev/antfood/percussive-gen/data/audio/8OClockCoffee_ThePowerOfCoffee_Sunflowerfields_30s_181026_LIB_DH.wav,8OClockCoffee_ThePowerOfCoffee_Sunflowerfields_30s_181026_LIB_DH.wav,100
The Dons (Original),/home/pedro/dev/antfood/percussive-gen/data/audio/09_The_Dons_6.6.13.wav,09_The_Dons_6.6.13.wav,55
Heels (Original),/home/pedro/dev/antfood/percussive-gen/data/audio/100_Antfood_Heels.wav,100_Antfood_Heels.wav,64
