Filename,Recording_S3_LocationLink,Streamable_S3_Key,Recordings,temp
01 Creatures.wav,https://betterproblems-production-originals.s3.amazonaws.com/01+Creatures.wav,grcHjIiFeDj5apd4iOebcnbmaThneGex.mp3,Creatures (Original),42
01_Rocket_And_The_Ghost_Albuquerque_11.5.14.wav,https://betterproblems-production-originals.s3.amazonaws.com/01_Rocket_And_The_Ghost_Albuquerque_11.5.14.wav,gWfuiGbxfSbHgAeHdhaUcHaSbqdVcY.mp3,Albuquerque (Original),65
01_Spiderhands_6.6.13.wav,https://betterproblems-production-originals.s3.amazonaws.com/01_Spiderhands_6.6.13.wav,ixc2jvihaPbochaCgKifeyaThgevhsiD.mp3,Spiderhands (Original),83
02_1981_6.6.13.wav,https://betterproblems-production-originals.s3.amazonaws.com/02_1981_6.6.13.wav,gtbBdNa4awdmaTandhfLaofOiabNhijr.mp3,1981 (Original),82
02_Rocket_And_The_Ghost_Come_In_From_The_Outside_11.5.14.wav,https://betterproblems-production-originals.s3.amazonaws.com/02_Rocket_And_The_Ghost_Come_In_From_The_Outside_11.5.14.wav,cEa9iKcod7cAhmiTi5cLiOdFgsekanjF.mp3,Come In From The Outside (Original),85
03_Brighton_6.6.13.wav,https://betterproblems-production-originals.s3.amazonaws.com/03_Brighton_6.6.13.wav,cadti8aHcudLbSeehojfjEdDh9epeweh.mp3,Brighton (Original),87
04_Ghosts_6.6.13.wav,https://betterproblems-production-originals.s3.amazonaws.com/04_Ghosts_6.6.13.wav,eMeddMivjOePdmhqjdhCe1iadDhgbAb5.mp3,Ghosts (Original),82
05_Ipanema_6.6.13.wav,https://betterproblems-production-originals.s3.amazonaws.com/05_Ipanema_6.6.13.wav,idbwize8bMhgfZdla3gQc2gheQd3elc1.mp3,Ipanema (Original),34
06_The_Weather_6.6.13.wav,https://betterproblems-production-originals.s3.amazonaws.com/06_The_Weather_6.6.13.wav,bseqfJeya7dKc3cKfldyaOiZfleSiOaG.mp3,The Weather (Original),85
07_Copycat_6.6.13.wav,https://betterproblems-production-originals.s3.amazonaws.com/07_Copycat_6.6.13.wav,irfkgydlaQd2dldibYgrjFjwbfajefjy.mp3,Copycat (Original),85
08_Love_On_Division_6.6.13.wav,https://betterproblems-production-originals.s3.amazonaws.com/08_Love_On_Division_6.6.13.wav,iRe4fhf1iYdKhNd9hTjHjzimdRdmcpbv.mp3,Love on Division (Original),85
8OClockCoffee_FortyEightHourBlend_MUS_180831_LIB_SC.wav,https://betterproblems-production-originals.s3.amazonaws.com/8OClockCoffee_FortyEightHourBlend_MUS_180831_LIB_SC.wav,gbhvgGgccgdHeEdggqdQgphxe3c5hLbD.mp3,Forty Eight Hour Blend (Original),76
8OClockCoffee_RebirthOfClass_Clean_180831_WB_LIB_1.wav,https://betterproblems-production-originals.s3.amazonaws.com/8OClockCoffee_RebirthOfClass_Clean_180831_WB_LIB_1.wav,efdMdqbLfbgfiSdMb4j4ahjncoc7dFgD.mp3,Rebirth Of Class (Clean),85
8OClockCoffee_RebirthOfClass_Dusty_180831_WB_LIB_2.wav,https://betterproblems-production-originals.s3.amazonaws.com/8OClockCoffee_RebirthOfClass_Dusty_180831_WB_LIB_2.wav,bWa9j3bSdUiXgLfojEjGgfj8dzhQiKam.mp3,Rebirth Of Class (Dusty),85
8OClockCoffee_ThePowerOfCoffee_Sunflowerfields_30s_181026_LIB_DH.wav,https://betterproblems-production-originals.s3.amazonaws.com/8OClockCoffee_ThePowerOfCoffee_Sunflowerfields_30s_181026_LIB_DH.wav,ila6hrbDcbiWgqgBbpi1gthRfaeEhhdN.mp3,Sunflower Fields (Original),100
09_The_Dons_6.6.13.wav,https://betterproblems-production-originals.s3.amazonaws.com/09_The_Dons_6.6.13.wav,cljEdAhBeEhEiTbwhLiMbCa4iTiQjehp.mp3,The Dons (Original),55
100_Antfood_Heels.wav,https://betterproblems-production-originals.s3.amazonaws.com/100_Antfood_Heels.wav,h6jyfbdxdycqhsbMjYggcEjtgCcDcmaW.mp3,Heels (Original),64
101_Antfood_HouseOnAHill_A.wav,https://betterproblems-production-originals.s3.amazonaws.com/101_Antfood_HouseOnAHill_A.wav,dXhOdljdf9eccAhtjhjofghAhtdOdgaB.mp3,House On A Hill (A),15
101_Antfood_HouseOnAHill_B.wav,https://betterproblems-production-originals.s3.amazonaws.com/101_Antfood_HouseOnAHill_B.wav,hCilhriWjFhYgIhKhPj2aWaraKcAhOaW.mp3,House On A Hill (B),15
102_Antfood_PigFarmer.wav,https://betterproblems-production-originals.s3.amazonaws.com/102_Antfood_PigFarmer.wav,eTgth8cjhjdJabcicFg9eRcca8e6fnab.mp3,Pig Farmer (Original),21
103_Antfood_Dimly.wav,https://betterproblems-production-originals.s3.amazonaws.com/103_Antfood_Dimly.wav,fQfkaqdji1hDjMe2h5gwcJeEbMdpaJjH.mp3,Dimly (Original),35
104_Antfood_FallDay.wav,https://betterproblems-production-originals.s3.amazonaws.com/104_Antfood_FallDay.wav,dBbhaietdqdTdpbYcBg6iVf6eOdCc8fm.mp3,Fall Day (Original),90
105_Antfood_FilthyRich_A.wav,https://betterproblems-production-originals.s3.amazonaws.com/105_Antfood_FilthyRich_A.wav,hhbFe4jVbtiUfChjayjXfleBciiccRaM.mp3,Filthy Rich (A),40
105_Antfood_FilthyRich_B.wav,https://betterproblems-production-originals.s3.amazonaws.com/105_Antfood_FilthyRich_B.wav,iobheIfzbOhyideVfhbGbodHjGiYf1cC.mp3,Filthy Rich (B),40
106_Antfood_NightDesert.wav,https://betterproblems-production-originals.s3.amazonaws.com/106_Antfood_NightDesert.wav,h9g6juiWcgiKdbbibwiGb2g5itcRiDcs.mp3,Night Desert (Original),48
107_Antfood_EmptySun.wav,https://betterproblems-production-originals.s3.amazonaws.com/107_Antfood_EmptySun.wav,fFicc7alfWbucdjqjuhsaej7dGh9jufb.mp3,Empty Sun (Original),76
108_Antfood_SwissCheeseBaby.wav,https://betterproblems-production-originals.s3.amazonaws.com/108_Antfood_SwissCheeseBaby.wav,f6fqhjisadjMfSjMjWaZashji8eya8hv.mp3,Swiss Cheese Baby (Original),72
110_Antfood_MaryCarlos.wav,https://betterproblems-production-originals.s3.amazonaws.com/110_Antfood_MaryCarlos.wav,gDaWhFhGhSdTcWhIdxgxbUj8ihgYavgV.mp3,Mary Carlos (Original),85
111_Antfood_Betelgeuse.wav,https://betterproblems-production-originals.s3.amazonaws.com/111_Antfood_Betelgeuse.wav,eCgLbrhTfsfdiDfOhqd3j9aObZe9je.mp3,Betelgeuse (Original),76
112_Antfood_Habana_A.wav,https://betterproblems-production-originals.s3.amazonaws.com/112_Antfood_Habana_A.wav,cnjfibedhjeNhPfZdvgzd5fHcAd8hjg8.mp3,Habana (A),76
112_Antfood_Habana_B.wav,https://betterproblems-production-originals.s3.amazonaws.com/112_Antfood_Habana_B.wav,ikaJiFbIeUbTfZiXiLekgOhweugkfyeB.mp3,Habana (B),76
113_Antfood_MarbleHalls.wav,https://betterproblems-production-originals.s3.amazonaws.com/113_Antfood_MarbleHalls.wav,habNciaqa4f6jpeAgBhKdeh8cLcDhI.mp3,Marble Halls (Original),71
114_Antfood_PontePreta.wav,https://betterproblems-production-originals.s3.amazonaws.com/114_Antfood_PontePreta.wav,cVjtbPc3cte3fZhShGgdcsiFcpbejte8.mp3,Ponte Preta (Original),35
115_Antfood_RomperRoom.wav,https://betterproblems-production-originals.s3.amazonaws.com/115_Antfood_RomperRoom.wav,dHgXdrcBcmcgf9eDeTgcjWdNhbjIiUh2.mp3,Romper Room (Original),15
116_Antfood_Honey.wav,https://betterproblems-production-originals.s3.amazonaws.com/116_Antfood_Honey.wav,c9jBezekefcRjUgodAc4bTbldDdNaLgs.mp3,Honey (Original),85
117_Antfood_LakeSuperior_A.wav,https://betterproblems-production-originals.s3.amazonaws.com/117_Antfood_LakeSuperior_A.wav,dshrhsa2gKiUfKgVeQeuiEf9iGaqdw.mp3,Lake Superior (Instrumental),87
117_Antfood_LakeSuperior_B.wav,https://betterproblems-production-originals.s3.amazonaws.com/117_Antfood_LakeSuperior_B.wav,dwicaPe4dKgsjGhOgwbLcabIj6cHh4aa.mp3,Lake Superior (Vocoded Vocals),82
118_Antfood_MoogAria.wav,https://betterproblems-production-originals.s3.amazonaws.com/118_Antfood_MoogAria.wav,fvhPg5bzhtfAf3ifcbgrdzfyd4eqfLaY.mp3,Moog  Aria (Original),68
119_Antfood_Roboland.wav,https://betterproblems-production-originals.s3.amazonaws.com/119_Antfood_Roboland.wav,dsj4cuaBangGbgi4gAgXerddi6eVhKhm.mp3,Roboland (Original),57
120_Antfood_Squared.wav,https://betterproblems-production-originals.s3.amazonaws.com/120_Antfood_Squared.wav,esflaSjHcceVcTjxhybqbahVa7idbw.mp3,Clair De Lune (Cover),85
121_Antfood_Spiders.wav,https://betterproblems-production-originals.s3.amazonaws.com/121_Antfood_Spiders.wav,f7fnbNfHgPcVbeaNiDhJe2bMgMfJhjfo.mp3,Spiders (Original),73
122_Antfood_Easy.wav,https://betterproblems-production-originals.s3.amazonaws.com/122_Antfood_Easy.wav,dVdea7a6jdg5jmdpiFg8cMftcsfKeL.mp3,Easy (Original),86
123_Antfood_DirtyParty.wav,https://betterproblems-production-originals.s3.amazonaws.com/123_Antfood_DirtyParty.wav,csd3dXbRdyhUbTaafaagfgi7gkcrenjH.mp3,Dirty Party (Original),59
124_Antfood_Werewolves.wav,https://betterproblems-production-originals.s3.amazonaws.com/124_Antfood_Werewolves.wav,bziMcwjidadEdsjQisascRahi2coeChK.mp3,Werewolves (Original),62
125_Antfood_Community.wav,https://betterproblems-production-originals.s3.amazonaws.com/125_Antfood_Community.wav,cZjufbdpe6chgua8aLhccvfsf4i8aec3.mp3,Community (Original),65
126_Antfood_SaltyChicken.wav,https://betterproblems-production-originals.s3.amazonaws.com/126_Antfood_SaltyChicken.wav,hObteziybpc5hXfScejejcalfqb6bNhW.mp3,Salty Chicken (Original),85
127_Antfood_MilkCrate.wav,https://betterproblems-production-originals.s3.amazonaws.com/127_Antfood_MilkCrate.wav,gcgij4gJe5c2izhPdkeygddveleViFiG.mp3,Milk Crate (Original),46
128_Antfood_CityStreets.wav,https://betterproblems-production-originals.s3.amazonaws.com/128_Antfood_CityStreets.wav,hVj8eEeIhRa9gSfif1aoa5hcefcWbMdu.mp3,City Streets (Original),80
129_Antfood_DownTheHall.wav,https://betterproblems-production-originals.s3.amazonaws.com/129_Antfood_DownTheHall.wav,hrh6d8iIbLdoeycjgtfYeSeZfQe9dxjw.mp3,Down The Hall (Original),85
