Unnamed: 0,Recording_S3_LocationLink,Streamable_S3_Key,Recordings,brightness,bp.Conventions (from Recordings),s3-key,audio_path
0,https://betterproblems-production-originals.s3.amazonaws.com/AFSP_Ford_TremDaVida_Vitous_LS_150306_22h_Longa_qt.wav,eWcfhMfgaebFbbcZdheyejicdvh1bPeb.mp3,Vitous (Original),1,"Sports,Drama,Swagger,Epic Heroes",AFSP_Ford_TremDaVida_Vitous_LS_150306_22h_Longa_qt.wav,data/audio/AFSP_Ford_TremDaVida_Vitous_LS_150306_22h_Longa_qt.wav
2,https://betterproblems-production-originals.s3.amazonaws.com/425_Antfood_Jets.wav,hhgfijcdbFdJdEjGaNf9hbjpfUcfav.mp3,Jets (Original),1,"Sci-Fi,Comedy",425_Antfood_Jets.wav,data/audio/425_Antfood_Jets.wav
4,https://betterproblems-production-originals.s3.amazonaws.com/17150838_Converse_LTR_DrSpaceman_LIB_170724.wav,f8h4eLhriqjxbthJalczc4dujgbzg6dv.mp3,Dr Spaceman (Original),1,"Sports,Cars,Fashion",17150838_Converse_LTR_DrSpaceman_LIB_170724.wav,data/audio/17150838_Converse_LTR_DrSpaceman_LIB_170724.wav
5,https://betterproblems-production-originals.s3.amazonaws.com/Google_DefendTheUser_Diazo_Original_220908_D_106_4-4_WB-ZG_NXT.wav,dogScIh9d6hxaYb2fObXfkfdfbehe8dJ.mp3,Diazo (Original),1,"Cinematic,Music as Background,Swagger,Technology,Adventure,Chase & Action,Epic Heroes,Trailer,Drama",Google_DefendTheUser_Diazo_Original_220908_D_106_4-4_WB-ZG_NXT.wav,data/audio/Google_DefendTheUser_Diazo_Original_220908_D_106_4-4_WB-ZG_NXT.wav
6,https://betterproblems-production-originals.s3.amazonaws.com/BIDB_Horseshoe_Falster_180319_LIB_WB.wav,exj4eOgAgIe8jYi8aqj7flapj1gnbXf2.mp3,Falster (Original),1,"Cinematic,Sci-Fi,Drama,Epic Heroes",BIDB_Horseshoe_Falster_180319_LIB_WB.wav,data/audio/BIDB_Horseshoe_Falster_180319_LIB_WB.wav
9,https://betterproblems-production-originals.s3.amazonaws.com/17151574_SyFy_StillLife_Tombas_141010_qt.wav,hfaIjyezchc9gOgweCgnd6hehGd9cL.mp3,Tombas (Original),1,"Technology,Sci-Fi",17151574_SyFy_StillLife_Tombas_141010_qt.wav,data/audio/17151574_SyFy_StillLife_Tombas_141010_qt.wav
10,https://betterproblems-production-originals.s3.amazonaws.com/INTERSPORT_SS22_Deurdrum_Original_211213_Fm_100_4-4_RVR_NXT.wav,esjXgQe6hJhke4gaj2dEachUhliAe5fD.mp3,Deurdrum (Original),1,"Sports,Adventure,Swagger,Cars",INTERSPORT_SS22_Deurdrum_Original_211213_Fm_100_4-4_RVR_NXT.wav,data/audio/INTERSPORT_SS22_Deurdrum_Original_211213_Fm_100_4-4_RVR_NXT.wav
11,https://betterproblems-production-originals.s3.amazonaws.com/Samsung_Crown_Gates_180821_LIB_SC.wav,c7i1cmgigjbJaxaJdgaoatgtfSe2cEbu.mp3,Iron Gates (Original),1,"Cars,Sports,Epic Heroes,Chase & Action,Swagger,Technology",Samsung_Crown_Gates_180821_LIB_SC.wav,data/audio/Samsung_Crown_Gates_180821_LIB_SC.wav
13,https://betterproblems-production-originals.s3.amazonaws.com/17151732_Xenoport_Windfall_MUS_160428_qt.wav,f4jWjxgSaZhUebdZgmeFcUdCgxj2c5aj.mp3,Windfall (Original),1,"Cinematic,Drama",17151732_Xenoport_Windfall_MUS_160428_qt.wav,data/audio/17151732_Xenoport_Windfall_MUS_160428_qt.wav
15,https://betterproblems-production-originals.s3.amazonaws.com/AFSP_Carwash_WickedPeople_LS_140918_21h_qt.wav,cijBjSdwcScIepeCghgLdCdKdoajjZjI.mp3,Wicked People (Original),1,Swagger,AFSP_Carwash_WickedPeople_LS_140918_21h_qt.wav,data/audio/AFSP_Carwash_WickedPeople_LS_140918_21h_qt.wav
16,https://betterproblems-production-originals.s3.amazonaws.com/Persol_System_Cellor_SevenSisters_191119_A_117_PB.wav,gVe8eaeWasbVdeb3ejjChXjChBhghyaf.mp3,Seven Sisters (Original),1,"Music as Background,Horror,Sci-Fi,Technology",Persol_System_Cellor_SevenSisters_191119_A_117_PB.wav,data/audio/Persol_System_Cellor_SevenSisters_191119_A_117_PB.wav
17,https://betterproblems-production-originals.s3.amazonaws.com/Cinionic_SonicStrategy_ADreamInWaves_Original_230628_C_120_4-4_LHS_NXT.wav,f7evhWhVaQeqgsdMjPe5jSfajea1fgdH.mp3,A Dream In Waves (Original),1,Cinematic,Cinionic_SonicStrategy_ADreamInWaves_Original_230628_C_120_4-4_LHS_NXT.wav,data/audio/Cinionic_SonicStrategy_ADreamInWaves_Original_230628_C_120_4-4_LHS_NXT.wav
18,https://betterproblems-production-originals.s3.amazonaws.com/17150873_DEW_LabelVR_IllWave_170113_qt.wav,bPe8b7hCc5caf5gIg2g5gnaUfriEctcF.mp3,Ill Wave (Original),1,"Whimsical & Quirky,Swagger,Technology,Fashion,Cars",17150873_DEW_LabelVR_IllWave_170113_qt.wav,data/audio/17150873_DEW_LabelVR_IllWave_170113_qt.wav
19,https://betterproblems-production-originals.s3.amazonaws.com/Google_DefendTheUser_RedTeamGo_Original_220913_Cm_124_4-4_JH_NXT.wav,god7a8aPirbedCbHdZi5gJc2augKige4.mp3,Red Team Go (Original),1,"Cars,Fashion,Adventure,Technology,Sports,Epic Heroes",Google_DefendTheUser_RedTeamGo_Original_220913_Cm_124_4-4_JH_NXT.wav,data/audio/Google_DefendTheUser_RedTeamGo_Original_220913_Cm_124_4-4_JH_NXT.wav
20,https://betterproblems-production-originals.s3.amazonaws.com/17151442_Pepsi_Wall2Wall_170616_LIBRARY_SC.wav,hGeGaigeb2b2jkazi2hWjbhMeZbUd7ds.mp3,Wall 2 Wall (Original),1,"Sports,Cars,Swagger,Fashion",17151442_Pepsi_Wall2Wall_170616_LIBRARY_SC.wav,data/audio/17151442_Pepsi_Wall2Wall_170616_LIBRARY_SC.wav
21,https://betterproblems-production-originals.s3.amazonaws.com/17151502_SIAG_MinimalStretch_170112_qt.wav,brdXj2gifKbSbWeuaYasikhGcRcHfD.mp3,Hover (Ambient Space),1,"Magic & Fantasy,Sci-Fi,Adventure,Case Study,Cinematic,Horror",17151502_SIAG_MinimalStretch_170112_qt.wav,data/audio/17151502_SIAG_MinimalStretch_170112_qt.wav
