,Filename,Recording_S3_LocationLink,Streamable_S3_Key,Recordings,brightness,bp.Conventions (from Recordings)
0,AFSP_Ford_TremDaVida_Vitous_LS_150306_22h_Longa_qt.wav,https://betterproblems-production-originals.s3.amazonaws.com/AFSP_Ford_TremDaVida_Vitous_LS_150306_22h_Longa_qt.wav,eWcfhMfgaebFbbcZdheyejicdvh1bPeb.mp3,Vitous (Original),1,"Sports,Drama,Swagger,Epic Heroes"
1,554 Cactus B.wav,https://betterproblems-production-originals.s3.amazonaws.com/554+Cactus+B.wav,cOcIeheQbkdFega1aIgzcgaobSikfrhN.mp3,Cactus (B),1,"Sports,Cars"
2,425_Antfood_Jets.wav,https://betterproblems-production-originals.s3.amazonaws.com/425_Antfood_Jets.wav,hhgfijcdbFdJdEjGaNf9hbjpfUcfav.mp3,Jets (Original),1,"Sci-Fi,Comedy"
3,BattlescarVR_LupeTubs_WithDrums_180105_LIB_WB?.wav,https://betterproblems-production-originals.s3.amazonaws.com/BattlescarVR_LupeTubs_WithDrums_180105_LIB_WB%3F.wav,ihiYiVgmdbimi3bMcCgWb4iagXcSgp.mp3,Lupe Tubs (With Drums),1,Drama
4,17150838_Converse_LTR_DrSpaceman_LIB_170724.wav,https://betterproblems-production-originals.s3.amazonaws.com/17150838_Converse_LTR_DrSpaceman_LIB_170724.wav,f8h4eLhriqjxbthJalczc4dujgbzg6dv.mp3,Dr Spaceman (Original),1,"Sports,Cars,Fashion"
5,Google_DefendTheUser_Diazo_Original_220908_D_106_4-4_WB-ZG_NXT.wav,https://betterproblems-production-originals.s3.amazonaws.com/Google_DefendTheUser_Diazo_Original_220908_D_106_4-4_WB-ZG_NXT.wav,dogScIh9d6hxaYb2fObXfkfdfbehe8dJ.mp3,Diazo (Original),1,"Cinematic,Music as Background,Swagger,Technology,Adventure,Chase & Action,Epic Heroes,Trailer,Drama"
6,BIDB_Horseshoe_Falster_180319_LIB_WB.wav,https://betterproblems-production-originals.s3.amazonaws.com/BIDB_Horseshoe_Falster_180319_LIB_WB.wav,exj4eOgAgIe8jYi8aqj7flapj1gnbXf2.mp3,Falster (Original),1,"Cinematic,Sci-Fi,Drama,Epic Heroes"
7,BattlescarVR_LupeTubs_NoDrums_180105_LIB_WB?.wav,https://betterproblems-production-originals.s3.amazonaws.com/BattlescarVR_LupeTubs_NoDrums_180105_LIB_WB%3F.wav,dnbOhlhzbteeePfSdRfKjpjhhXcwfC.mp3,Lupe Tubs (No Drums),1,Drama
8,CBS_LocalNewsStationRebrand_Walk&Talk_Original_230815_F#_86_4-4_RW_NXT.wav,https://betterproblems-production-originals.s3.amazonaws.com/CBS_LocalNewsStationRebrand_Walk%26Talk_Original_230815_F%23_86_4-4_RW_NXT.wav,cHeuhkg7d3cEdigKdwfCd7dxgAbqaui4.mp3,Walk& Talk (Original),1,"Sports,Apparel & Retail,Nightlife & Alcohol"
9,17151574_SyFy_StillLife_Tombas_141010_qt.wav,https://betterproblems-production-originals.s3.amazonaws.com/17151574_SyFy_StillLife_Tombas_141010_qt.wav,hfaIjyezchc9gOgweCgnd6hehGd9cL.mp3,Tombas (Original),1,"Technology,Sci-Fi"
10,INTERSPORT_SS22_Deurdrum_Original_211213_Fm_100_4-4_RVR_NXT.wav,https://betterproblems-production-originals.s3.amazonaws.com/INTERSPORT_SS22_Deurdrum_Original_211213_Fm_100_4-4_RVR_NXT.wav,esjXgQe6hJhke4gaj2dEachUhliAe5fD.mp3,Deurdrum (Original),1,"Sports,Adventure,Swagger,Cars"
11,Samsung_Crown_Gates_180821_LIB_SC.wav,https://betterproblems-production-originals.s3.amazonaws.com/Samsung_Crown_Gates_180821_LIB_SC.wav,c7i1cmgigjbJaxaJdgaoatgtfSe2cEbu.mp3,Iron Gates (Original),1,"Cars,Sports,Epic Heroes,Chase & Action,Swagger,Technology"
12,Microsoft_SunValley_VeritasAndHerMirror_Original_210519_Dbm_110_4-4_YE_SampledVox+YE.wav,https://betterproblems-production-originals.s3.amazonaws.com/Microsoft_SunValley_VeritasAndHerMirror_Original_210519_Dbm_110_4-4_YE_SampledVox%2BYE.wav,i4ebdlcHh3eDdGgIiNhWdEgEj3aGiyfO.mp3,Veritas And Her Mirror (Original),1,"Swagger,Fashion"
13,17151732_Xenoport_Windfall_MUS_160428_qt.wav,https://betterproblems-production-originals.s3.amazonaws.com/17151732_Xenoport_Windfall_MUS_160428_qt.wav,f4jWjxgSaZhUebdZgmeFcUdCgxj2c5aj.mp3,Windfall (Original),1,"Cinematic,Drama"
14,1038+Intro.wav,https://betterproblems-production-originals.s3.amazonaws.com/1038%2BIntro.wav,i1cWaacPj3ffbybyjFdbjjiWhufvj6iQ.mp3,Intro (Original),1,Cinematic
15,AFSP_Carwash_WickedPeople_LS_140918_21h_qt.wav,https://betterproblems-production-originals.s3.amazonaws.com/AFSP_Carwash_WickedPeople_LS_140918_21h_qt.wav,cijBjSdwcScIepeCghgLdCdKdoajjZjI.mp3,Wicked People (Original),1,Swagger
16,Persol_System_Cellor_SevenSisters_191119_A_117_PB.wav,https://betterproblems-production-originals.s3.amazonaws.com/Persol_System_Cellor_SevenSisters_191119_A_117_PB.wav,gVe8eaeWasbVdeb3ejjChXjChBhghyaf.mp3,Seven Sisters (Original),1,"Music as Background,Horror,Sci-Fi,Technology"
17,Cinionic_SonicStrategy_ADreamInWaves_Original_230628_C_120_4-4_LHS_NXT.wav,https://betterproblems-production-originals.s3.amazonaws.com/Cinionic_SonicStrategy_ADreamInWaves_Original_230628_C_120_4-4_LHS_NXT.wav,f7evhWhVaQeqgsdMjPe5jSfajea1fgdH.mp3,A Dream In Waves (Original),1,Cinematic
18,17150873_DEW_LabelVR_IllWave_170113_qt.wav,https://betterproblems-production-originals.s3.amazonaws.com/17150873_DEW_LabelVR_IllWave_170113_qt.wav,bPe8b7hCc5caf5gIg2g5gnaUfriEctcF.mp3,Ill Wave (Original),1,"Whimsical & Quirky,Swagger,Technology,Fashion,Cars"
19,Google_DefendTheUser_RedTeamGo_Original_220913_Cm_124_4-4_JH_NXT.wav,https://betterproblems-production-originals.s3.amazonaws.com/Google_DefendTheUser_RedTeamGo_Original_220913_Cm_124_4-4_JH_NXT.wav,god7a8aPirbedCbHdZi5gJc2augKige4.mp3,Red Team Go (Original),1,"Cars,Fashion,Adventure,Technology,Sports,Epic Heroes"
20,17151442_Pepsi_Wall2Wall_170616_LIBRARY_SC.wav,https://betterproblems-production-originals.s3.amazonaws.com/17151442_Pepsi_Wall2Wall_170616_LIBRARY_SC.wav,hGeGaigeb2b2jkazi2hWjbhMeZbUd7ds.mp3,Wall 2 Wall (Original),1,"Sports,Cars,Swagger,Fashion"
21,17151502_SIAG_MinimalStretch_170112_qt.wav,https://betterproblems-production-originals.s3.amazonaws.com/17151502_SIAG_MinimalStretch_170112_qt.wav,brdXj2gifKbSbWeuaYasikhGcRcHfD.mp3,Hover (Ambient Space),1,"Magic & Fantasy,Sci-Fi,Adventure,Case Study,Cinematic,Horror"
22,Google_DefendTheUser_OperatingRoom_Orginal_220909_Cm_85_4-4_WB_NXT.wav,https://betterproblems-production-originals.s3.amazonaws.com/Google_DefendTheUser_OperatingRoom_Orginal_220909_Cm_85_4-4_WB_NXT.wav,cXindmdcbicEgPb6irhNgDaIjjiNdodH.mp3,Operating Room (Orginal),1,"Technology,Adventure,Trailer,Music as Background,Swagger,Cinematic"
23,Beats_Zodiac_PurpleGrit_LB_Cm_4_4_136bpm_210317_qt.wav,https://betterproblems-production-originals.s3.amazonaws.com/Beats_Zodiac_PurpleGrit_LB_Cm_4_4_136bpm_210317_qt.wav,grjBfKgOgGfFalazaFhHgeeNcbbYbdgg.mp3,Purple Grit (Original ),1,"Sci-Fi,Drama,Fashion,Technology"
24,17151118_Gravity_Intro_MUSonly_073013_qt.wav,https://betterproblems-production-originals.s3.amazonaws.com/17151118_Gravity_Intro_MUSonly_073013_qt.wav,eCbBaeiZfhf2cQitaPatjWhfcxfKbreR.mp3,Crescendon't (A),1,"Cinematic,Drama,Chase & Action,Sci-Fi,Magic & Fantasy"
25,AFSP_IntimatePosters_TormentNow_LS_160428_qt.wav,https://betterproblems-production-originals.s3.amazonaws.com/AFSP_IntimatePosters_TormentNow_LS_160428_qt.wav,dBh7gphZeOg6fegueCh2jEdvgdd6eQ.mp3,Torment Now (Original),1,"Swagger,Sci-Fi,Technology"
26,1500 Tricks(WithGestures).wav,https://betterproblems-production-originals.s3.amazonaws.com/1500+Tricks%28WithGestures%29.wav,f8eEhsfle8hefGaneTfsebhWcMjYiOdh.mp3,Tricks (With Gestures),1,"Cars,Swagger,Chase & Action,Comedy,Technology,Cinematic"
27,Ally360_PlanetZeee_Orion_Original_200315_A_120_3-4_BE_NXT.wav,https://betterproblems-production-originals.s3.amazonaws.com/Ally360_PlanetZeee_Orion_Original_200315_A_120_3-4_BE_NXT.wav,fEhwd8jzbBhYhRhdh4eAg4bicmgFiuib.mp3,Rigel (Original),1,"Sci-Fi,Cinematic,Technology"
28,1081 LaChanson.wav,https://betterproblems-production-originals.s3.amazonaws.com/1081+LaChanson.wav,cMbuiMedina3b6dzjphRegbwbmhWdwaT.mp3,LaChanson (Original),1,"Case Study,Fashion,Technology,Magic & Fantasy"
29,17151500_SIAG_Hover_170112_qt.wav,https://betterproblems-production-originals.s3.amazonaws.com/17151500_SIAG_Hover_170112_qt.wav,h7bYddbubjgEa2a5a1bBbTcQezc3c8bl.mp3,Hover (Original),1,"Cars,Cinematic"
30,1020 Pirildimak.wav,https://betterproblems-production-originals.s3.amazonaws.com/1020+Pirildimak.wav,iDbpcSjfdobVh8jTbpdiaZiJjdisbu.mp3,Pirildimak (Original),1,"Magic & Fantasy,Drama"
