Filename,Recording_S3_LocationLink,Streamable_S3_Key,Recordings,brightness,bp.Conventions (from Recordings)
01 Creatures.wav,https://betterproblems-production-originals.s3.amazonaws.com/01+Creatures.wav,grcHjIiFeDj5apd4iOebcnbmaThneGex.mp3,Creatures (Original),17,"Sports,Cars,Epic Heroes,Drama,Swagger"
01_Rocket_And_The_Ghost_Albuquerque_11.5.14.wav,https://betterproblems-production-originals.s3.amazonaws.com/01_Rocket_And_The_Ghost_Albuquerque_11.5.14.wav,gWfuiGbxfSbHgAeHdhaUcHaSbqdVcY.mp3,Albuquerque (Original),67,"Sports,Epic Heroes"
01_Spiderhands_6.6.13.wav,https://betterproblems-production-originals.s3.amazonaws.com/01_Spiderhands_6.6.13.wav,ixc2jvihaPbochaCgKifeyaThgevhsiD.mp3,Spiderhands (Original),47,"Fashion,Swagger"
02_1981_6.6.13.wav,https://betterproblems-production-originals.s3.amazonaws.com/02_1981_6.6.13.wav,gtbBdNa4awdmaTandhfLaofOiabNhijr.mp3,1981 (Original),39,"Cars,Drama"
02_Rocket_And_The_Ghost_Come_In_From_The_Outside_11.5.14.wav,https://betterproblems-production-originals.s3.amazonaws.com/02_Rocket_And_The_Ghost_Come_In_From_The_Outside_11.5.14.wav,cEa9iKcod7cAhmiTi5cLiOdFgsekanjF.mp3,Come In From The Outside (Original),67,"Sports,Cars,Epic Heroes,Chase & Action"
03_Brighton_6.6.13.wav,https://betterproblems-production-originals.s3.amazonaws.com/03_Brighton_6.6.13.wav,cadti8aHcudLbSeehojfjEdDh9epeweh.mp3,Brighton (Original),88,"Cinematic,Epic Heroes,Drama"
04_Ghosts_6.6.13.wav,https://betterproblems-production-originals.s3.amazonaws.com/04_Ghosts_6.6.13.wav,eMeddMivjOePdmhqjdhCe1iadDhgbAb5.mp3,Ghosts (Original),77,"Epic Heroes,Chase & Action,Adventure"
05_Ipanema_6.6.13.wav,https://betterproblems-production-originals.s3.amazonaws.com/05_Ipanema_6.6.13.wav,idbwize8bMhgfZdla3gQc2gheQd3elc1.mp3,Ipanema (Original),15,"Cars,Technology,Swagger"
06_The_Weather_6.6.13.wav,https://betterproblems-production-originals.s3.amazonaws.com/06_The_Weather_6.6.13.wav,bseqfJeya7dKc3cKfldyaOiZfleSiOaG.mp3,The Weather (Original),79,"Cinematic,Whimsical & Quirky"
07_Copycat_6.6.13.wav,https://betterproblems-production-originals.s3.amazonaws.com/07_Copycat_6.6.13.wav,irfkgydlaQd2dldibYgrjFjwbfajefjy.mp3,Copycat (Original),63,"Cars,Whimsical & Quirky,Chase & Action"
08_Love_On_Division_6.6.13.wav,https://betterproblems-production-originals.s3.amazonaws.com/08_Love_On_Division_6.6.13.wav,iRe4fhf1iYdKhNd9hTjHjzimdRdmcpbv.mp3,Love on Division (Original),70,Swagger
8OClockCoffee_FortyEightHourBlend_MUS_180831_LIB_SC.wav,https://betterproblems-production-originals.s3.amazonaws.com/8OClockCoffee_FortyEightHourBlend_MUS_180831_LIB_SC.wav,gbhvgGgccgdHeEdggqdQgphxe3c5hLbD.mp3,Forty Eight Hour Blend (Original),71,"Western,Tugging on Heartstrings"
8OClockCoffee_RebirthOfClass_Clean_180831_WB_LIB_1.wav,https://betterproblems-production-originals.s3.amazonaws.com/8OClockCoffee_RebirthOfClass_Clean_180831_WB_LIB_1.wav,efdMdqbLfbgfiSdMb4j4ahjncoc7dFgD.mp3,Rebirth Of Class (Clean),47,"Whimsical & Quirky,Drama,Swagger"
8OClockCoffee_RebirthOfClass_Dusty_180831_WB_LIB_2.wav,https://betterproblems-production-originals.s3.amazonaws.com/8OClockCoffee_RebirthOfClass_Dusty_180831_WB_LIB_2.wav,bWa9j3bSdUiXgLfojEjGgfj8dzhQiKam.mp3,Rebirth Of Class (Dusty),47,"Whimsical & Quirky,Drama,Swagger"
8OClockCoffee_ThePowerOfCoffee_Sunflowerfields_30s_181026_LIB_DH.wav,https://betterproblems-production-originals.s3.amazonaws.com/8OClockCoffee_ThePowerOfCoffee_Sunflowerfields_30s_181026_LIB_DH.wav,ila6hrbDcbiWgqgBbpi1gthRfaeEhhdN.mp3,Sunflower Fields (Original),72,Music as Background
09_The_Dons_6.6.13.wav,https://betterproblems-production-originals.s3.amazonaws.com/09_The_Dons_6.6.13.wav,cljEdAhBeEhEiTbwhLiMbCa4iTiQjehp.mp3,The Dons (Original),66,"Swagger,Nostalgia Evoking"
100_Antfood_Heels.wav,https://betterproblems-production-originals.s3.amazonaws.com/100_Antfood_Heels.wav,h6jyfbdxdycqhsbMjYggcEjtgCcDcmaW.mp3,Heels (Original),59,"Fashion,Cinematic,Whimsical & Quirky,Magic & Fantasy"
101_Antfood_HouseOnAHill_A.wav,https://betterproblems-production-originals.s3.amazonaws.com/101_Antfood_HouseOnAHill_A.wav,dXhOdljdf9eccAhtjhjofghAhtdOdgaB.mp3,House On A Hill (A),31,"Fashion,Cinematic,Magic & Fantasy"
101_Antfood_HouseOnAHill_B.wav,https://betterproblems-production-originals.s3.amazonaws.com/101_Antfood_HouseOnAHill_B.wav,hCilhriWjFhYgIhKhPj2aWaraKcAhOaW.mp3,House On A Hill (B),39,"Fashion,Cinematic,Magic & Fantasy"
102_Antfood_PigFarmer.wav,https://betterproblems-production-originals.s3.amazonaws.com/102_Antfood_PigFarmer.wav,eTgth8cjhjdJabcicFg9eRcca8e6fnab.mp3,Pig Farmer (Original),15,"Comedy,Fashion,Cinematic,Whimsical & Quirky,Magic & Fantasy"
103_Antfood_Dimly.wav,https://betterproblems-production-originals.s3.amazonaws.com/103_Antfood_Dimly.wav,fQfkaqdji1hDjMe2h5gwcJeEbMdpaJjH.mp3,Dimly (Original),57,"Cinematic,Drama,Magic & Fantasy"
104_Antfood_FallDay.wav,https://betterproblems-production-originals.s3.amazonaws.com/104_Antfood_FallDay.wav,dBbhaietdqdTdpbYcBg6iVf6eOdCc8fm.mp3,Fall Day (Original),68,Health & Beauty
105_Antfood_FilthyRich_A.wav,https://betterproblems-production-originals.s3.amazonaws.com/105_Antfood_FilthyRich_A.wav,hhbFe4jVbtiUfChjayjXfleBciiccRaM.mp3,Filthy Rich (A),64,"Swagger,Whimsical & Quirky"
105_Antfood_FilthyRich_B.wav,https://betterproblems-production-originals.s3.amazonaws.com/105_Antfood_FilthyRich_B.wav,iobheIfzbOhyideVfhbGbodHjGiYf1cC.mp3,Filthy Rich (B),64,"Swagger,Whimsical & Quirky"
106_Antfood_NightDesert.wav,https://betterproblems-production-originals.s3.amazonaws.com/106_Antfood_NightDesert.wav,h9g6juiWcgiKdbbibwiGb2g5itcRiDcs.mp3,Night Desert (Original),59,"Cars,Fashion,Health & Beauty,Swagger,Technology,Sci-Fi"
107_Antfood_EmptySun.wav,https://betterproblems-production-originals.s3.amazonaws.com/107_Antfood_EmptySun.wav,fFicc7alfWbucdjqjuhsaej7dGh9jufb.mp3,Empty Sun (Original),58,"Technology,Epic Heroes"
108_Antfood_SwissCheeseBaby.wav,https://betterproblems-production-originals.s3.amazonaws.com/108_Antfood_SwissCheeseBaby.wav,f6fqhjisadjMfSjMjWaZashji8eya8hv.mp3,Swiss Cheese Baby (Original),45,Swagger
110_Antfood_MaryCarlos.wav,https://betterproblems-production-originals.s3.amazonaws.com/110_Antfood_MaryCarlos.wav,gDaWhFhGhSdTcWhIdxgxbUj8ihgYavgV.mp3,Mary Carlos (Original),78,Adventure
111_Antfood_Betelgeuse.wav,https://betterproblems-production-originals.s3.amazonaws.com/111_Antfood_Betelgeuse.wav,eCgLbrhTfsfdiDfOhqd3j9aObZe9je.mp3,Betelgeuse (Original),89,"Fashion,Sports,Music as Background"
112_Antfood_Habana_A.wav,https://betterproblems-production-originals.s3.amazonaws.com/112_Antfood_Habana_A.wav,cnjfibedhjeNhPfZdvgzd5fHcAd8hjg8.mp3,Habana (A),91,Sports
112_Antfood_Habana_B.wav,https://betterproblems-production-originals.s3.amazonaws.com/112_Antfood_Habana_B.wav,ikaJiFbIeUbTfZiXiLekgOhweugkfyeB.mp3,Habana (B),91,Sports
113_Antfood_MarbleHalls.wav,https://betterproblems-production-originals.s3.amazonaws.com/113_Antfood_MarbleHalls.wav,habNciaqa4f6jpeAgBhKdeh8cLcDhI.mp3,Marble Halls (Original),45,Drama
114_Antfood_PontePreta.wav,https://betterproblems-production-originals.s3.amazonaws.com/114_Antfood_PontePreta.wav,cVjtbPc3cte3fZhShGgdcsiFcpbejte8.mp3,Ponte Preta (Original),4,Fashion
115_Antfood_RomperRoom.wav,https://betterproblems-production-originals.s3.amazonaws.com/115_Antfood_RomperRoom.wav,dHgXdrcBcmcgf9eDeTgcjWdNhbjIiUh2.mp3,Romper Room (Original),67,"Cars,Sports,Technology,Swagger"
116_Antfood_Honey.wav,https://betterproblems-production-originals.s3.amazonaws.com/116_Antfood_Honey.wav,c9jBezekefcRjUgodAc4bTbldDdNaLgs.mp3,Honey (Original),58,Health & Beauty
117_Antfood_LakeSuperior_A.wav,https://betterproblems-production-originals.s3.amazonaws.com/117_Antfood_LakeSuperior_A.wav,dshrhsa2gKiUfKgVeQeuiEf9iGaqdw.mp3,Lake Superior (Instrumental),74,"Technology,Whimsical & Quirky,Sci-Fi"
117_Antfood_LakeSuperior_B.wav,https://betterproblems-production-originals.s3.amazonaws.com/117_Antfood_LakeSuperior_B.wav,dwicaPe4dKgsjGhOgwbLcabIj6cHh4aa.mp3,Lake Superior (Vocoded Vocals),71,"Sci-Fi,Technology,Whimsical & Quirky"
